Food Name,Calories (kcal),Protein (g),Carbs (g),Fat (g),FDC ID
"Banana, baked",161.0,0.82,32.43,3.21,2709225
"Banana, raw",97.0,0.74,22.71,0.28,2709224
Banana chips,519.0,2.3,58.4,33.6,2709200
Banana nectar,74.0,0.26,18.01,0.13,2709342
Banana pudding,160.0,2.57,28.0,4.26,2705697
Banana split,199.0,2.42,32.59,6.88,2705660
"Bananas, raw",89.0,1.09,22.8,0.33,173944
"Bananas, overripe, raw",357.0,0.73,20.1,0.22,1105073
"Cake or cupcake, banana",379.0,2.47,53.07,17.51,2707856
"Melon, banana (Navajo)",21.0,0.84,4.06,0.2,167629
"Pepper, banana, raw",113.0,1.66,5.35,0.45,169394
"Peppers, banana, raw",27.0,1.66,5.35,0.45,2709802
"Pie, banana cream",284.0,2.42,32.35,16.17,2708004
"Snacks, banana chips",2170.0,2.3,58.4,33.6,168849
"Babyfood, apple-banana juice",213.0,0.2,12.3,0.1,171351
"Babyfood, banana no tapioca, strained",381.0,1.0,21.3,0.2,167732
"Babyfood, juice, orange and banana",50.0,0.7,11.9,0.1,170962
"Baby Toddler bananas, Stage 1",91.0,1.0,21.34,0.2,2709365
"Baby Toddler bananas, Stage 2",91.0,1.0,21.34,0.2,2709366
"Babyfood, banana apple dessert, strained",285.0,0.3,16.3,0.2,167733
"Babyfood, banana with mixed berries, strained",92.0,1.01,21.3,0.36,170999
"Babyfood, cereal, mixed, with bananas, dry",391.0,10.7,77.1,4.6,170965
"Babyfood, cereal, oatmeal, with bananas, dry",1670.0,6.67,78.1,6.67,171361
"Babyfood, dessert, banana pudding, strained",284.0,1.0,14.1,0.8,169872
"Babyfood, dessert, banana yogurt, strained",78.0,1.1,17.4,0.52,168135
"Babyfood, fruit, applesauce with banana, junior",66.0,0.37,16.2,0.1,170951
"Babyfood, fruit, banana and strawberry, junior",109.0,0.71,25.8,0.37,170998
"Babyfood, fruit, bananas with tapioca, junior",67.0,0.4,17.8,0.2,172282
"Babyfood, fruit, bananas with tapioca, strained",56.0,0.4,15.3,0.1,171335
"Babyfood, GERBER, Banana with orange medley",287.0,1.06,20.4,0.0,169792
"Babyfood, juice, orange and apple and banana",47.0,0.4,11.5,0.1,170960
"Bananas, ripe and slightly ripe, raw",97.0,0.74,23.0,0.29,1105314
"Puddings, banana, dry mix, instant",367.0,0.0,92.7,0.6,169648
"Puddings, banana, dry mix, regular",1530.0,0.0,93.0,0.4,169650
SILK Banana-Strawberry soy yogurt,368.0,2.35,17.1,1.18,175230
"Babyfood, banana juice with low fat yogurt",86.0,2.5,17.5,0.8,168090
"Babyfood, cereal, mixed, with applesauce and bananas, strained",82.0,0.71,18.4,0.51,170966
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",75.0,0.89,15.6,0.89,171362
"Babyfood, cereal, rice, with applesauce and bananas, strained",334.0,1.2,17.1,0.4,170970
"Babyfood, fruit, bananas and pineapple with tapioca, junior",68.0,0.2,18.4,0.1,170953
"Babyfood, fruit, bananas and pineapple with tapioca, strained",65.0,0.2,17.8,0.0,170954
"Babyfood, fruit, bananas with apples and pears, strained",83.0,0.9,19.3,0.22,170956
"Beverages, V8 SPLASH Smoothies, Strawberry Banana",37.0,1.22,8.16,0.0,174829
"Fruit juice smoothie, ODWALLA, strawberry banana",200.0,0.5,11.0,0.32,168213
"Pie, banana cream, prepared from recipe",269.0,4.4,32.9,13.6,172777
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",350.0,0.71,18.8,0.51,170967
"Babyfood, cereal, mixed, with bananas, prepared with whole milk",86.0,3.82,10.0,3.46,173530
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",319.0,0.89,16.0,0.89,171363
"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",362.0,3.82,10.0,3.46,172297
"Babyfood, cereal, rice, with bananas, prepared with whole milk",360.0,3.57,10.5,3.32,173534
"Beverages, V8 SPLASH Juice Drinks, Strawberry Banana",29.0,0.0,7.41,0.0,174168
"Beverages, V8 V-FUSION Juices, Strawberry Banana",49.0,0.41,11.8,0.0,171934
"Bread, banana, prepared from recipe, made with margarine",326.0,4.3,54.6,10.5,174906
"Cereals, QUAKER, Instant Oatmeal, Banana Bread, dry",368.0,8.97,75.7,4.85,174638
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",52.0,0.44,12.4,0.3,167799
"Fruit juice smoothie, NAKED JUICE, strawberry banana",50.0,0.48,11.7,0.27,168214
"Puddings, banana, dry mix, instant, with added oil",386.0,0.0,89.0,4.4,168866
"Puddings, banana, dry mix, regular, with added oil",387.0,0.0,88.4,5.0,170241
"Yogurt, Greek, 2% fat, strawberry banana, CHOBANI",88.0,8.0,10.2,1.71,170912
"Cereals, QUAKER, Weight Control Instant Oatmeal, banana bread",361.0,16.5,64.4,6.16,173923
"Pie, banana cream, prepared from mix, no-bake type",251.0,3.4,31.6,12.9,175013
"Puddings, banana, dry mix, instant, prepared with 2% milk",441.0,2.76,19.7,1.7,167588
"Puddings, banana, dry mix, instant, prepared with whole milk",115.0,2.62,19.8,2.8,169649
"Puddings, banana, dry mix, regular, prepared with 2% milk",422.0,2.9,18.4,1.73,167589
"Puddings, banana, dry mix, regular, prepared with whole milk",463.0,2.74,18.4,2.89,168825
"Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch",1630.0,9.8,70.9,8.8,169870
Genotype and ripening method affect carotenoid content and bio-accessibility in banana,,,,,2715718
"Dietary fiber, starch, and sugars in bananas at different stages of ripeness in the retail market",,,,,2644279
"Fast foods, strawberry banana smoothie made with ice and low-fat yogurt",272.0,0.86,15.0,0.14,170775
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",86.0,0.41,22.4,0.1,167764
"Plantain, raw",122.0,1.3,31.89,0.35,2709560
Frozen daiquiri,127.0,0.07,17.65,0.08,2710682
"Fruit, chocolate covered",133.0,1.41,20.12,6.69,2709295
"Plantain, cooked, no added fat",122.0,1.3,31.8,0.35,2709558
"Muffin, bran with fruit, lowfat",179.0,5.42,39.99,1.5,2707838
"Plantain, cooked with butter or margarine",138.0,1.27,30.88,2.53,2709562
"Plantain, cooked, fat added, NS as to fat type",141.0,1.27,30.88,2.88,2709561
"Muffin, fruit",375.0,4.49,53.0,16.07,2707830
"Cookie, sandwich-type, not chocolate or vanilla",483.0,4.5,72.1,20.0,2707963
"Plantain, cooked with oil",144.0,1.26,30.87,3.24,2709559
"MARGIE'S, BANANA SYRUP, BANANA, BANANA",203.0,1.35,47.3,0.0,2667078
"BANANA CHIPS, BANANA",500.0,2.5,65.0,25.0,1998798
"BANANA  MUFFINS, BANANA",383.0,4.26,55.3,14.9,2568935
"BANANA ALMONDMILK, BANANA",33.0,0.83,5.83,0.83,2673112
"BANANA BREAD, BANANA",359.0,6.41,44.9,16.7,2606595
"BANANA BUTTER, BANANA",312.0,0.0,81.2,0.0,2167374
"BANANA CAKE, BANANA",346.0,2.56,53.8,12.8,2127371
"BANANA CANDY, BANANA",379.0,0.0,86.2,5.17,2155996
"BANANA CEREAL, BANANA",381.0,7.14,83.3,5.95,2615371
"BANANA KETCHUP, BANANA",100.0,0.0,26.7,0.0,2217507
"BANANA MUFFIN, BANANA",391.0,3.21,57.7,15.4,2128211
"BANANA MUFFINS, BANANA",383.0,2.13,57.4,14.9,2186267
"BANANA OATMEAL, BANANA",385.0,30.8,52.3,6.92,2271723
"BANANA PUDDING, BANANA",284.0,2.47,37.0,13.6,2406220
"BANANA SHAKE, BANANA",101.0,2.95,13.9,3.8,2246994
"BANANA SODA, BANANA",52.0,0.0,12.9,0.0,2668828
"BANANA SPLIT, BANANA",500.0,13.3,50.0,33.3,2671476
"BANANA TAFFY, BANANA",393.0,0.0,78.6,7.14,2533888
"BANANA WAFERS, BANANA",500.0,3.33,73.3,23.3,1964405
"BANANA WAFFLES, BANANA",300.0,5.71,42.9,11.4,1859072
"BANANA WALNUTS, BANANA",571.0,10.7,39.3,46.4,1983306
"BANANAS CEREAL, BANANA",364.0,5.45,83.6,3.64,2595891
"CEREALS WITH BANANAS, BANANAS",364.0,5.45,83.6,3.64,2142551
"CHUBBY, GO BANANAS SODA, BANANA, BANANA",52.0,0.0,13.2,0.0,1871999
"BANANA DRIED CHIPS, BANANA",500.0,0.0,66.7,26.7,2479372
"SWEETENED BANANA CHIPS, BANANA",500.0,2.5,65.0,25.0,1949150
"BANANA FLAVORED CHIPS, BANANA",500.0,3.57,67.9,25.0,2173723
"BANANA FRUIT CRISPS, BANANA",412.0,5.88,88.2,0.0,2671141
"BANANA BREAD GRANOLA, BANANA",433.0,6.67,70.0,13.3,2670536
"BANANA BREAD LOAVES, BANANA",,6.0,48.0,26.0,2275097
"BANANA BREAD MIX, BANANA",375.0,6.25,81.2,0.0,2640019
"BANANA CAKE WITH ICING, BANANA",378.0,2.7,64.9,12.2,2155182
"BANANA CANDIED WALNUTS, BANANA",643.0,14.3,25.0,64.3,2398170
"BANANA CANDY ROPES, BANANA",348.0,0.0,78.3,6.52,2165010
"BANANA COW YOGURT, BANANA",94.0,2.94,11.8,4.12,2455897
"BANANA CREAM PIE, BANANA",232.0,3.03,27.3,12.1,2078473
"BANANA CREME PIE, BANANA",243.0,2.61,27.0,13.9,2463821
"BANANA DIPPED POPS, BANANA",158.0,1.32,25.0,6.58,2417114
"BANANA DOUBLE DECKAR, BANANA",385.0,3.85,69.2,9.62,2679610
"BANANA FLAVORED CAKE, BANANA",368.0,4.41,60.3,11.8,2485623
"BANANA FLAVORED CEREAL, BANANA",381.0,7.14,83.3,5.95,2155546
"BANANA FLAVORED SODA, BANANA",42.0,0.0,10.6,0.0,1997798
"BANANA FRUIT BAR, BANANA",343.0,2.86,88.6,0.0,2392083
"BANANA FRUIT BARS, BANANA",204.0,1.02,30.6,9.18,2569202
"BANANA GRADE A MILK, BANANA",88.0,2.92,12.5,3.33,1971894
"BANANA GREEK YOGURT, BANANA",81.0,9.25,3.96,3.52,2409926
"BANANA HOMEMADE CUSTARD, BANANA",254.0,3.61,24.1,13.2,2510842
"BANANA ICE POPS, BANANA",85.0,0.0,20.8,0.0,2447532
"BANANA ICED CAKE, BANANA",412.0,3.53,56.5,18.8,2011307
"BANANA MARSHMALLOWS PIES, BANANA",429.0,3.57,67.9,16.1,2667637
"BANANA MEGA MUFFIN, BANANA",340.0,4.49,44.2,16.0,2320555
"BANANA MEGA MUFFINS, BANANA",340.0,4.49,44.9,16.0,2542998
"BANANA MINI MUFFINS, BANANA",366.0,4.46,46.4,17.9,2464899
"BANANA MINI PIES, BANANA",393.0,3.57,71.4,10.7,2163097
"BANANA MUFFIN MIX, BANANA",404.0,4.26,78.7,9.57,2300721
"BANANA ORGANIC CHIPS, BANANA",533.0,3.33,56.7,30.0,2404155
"BANANA ORGANIC PEPPERS, BANANA",18.0,,,0.0,2451173
"BANANA PEANUT BUTTER, BANANA",562.0,21.9,18.8,46.9,2189085
"BANANA PLANTAIN STRIPS, BANANA",536.0,3.57,60.7,32.1,2627618
"BANANA PUDDING CEREAL, BANANA",400.0,2.5,85.0,6.25,2470824
"BANANA PUDDING CUP, BANANA",183.0,2.48,29.7,6.44,2411312
"BANANA PUDDING CUPS, BANANA",111.0,1.01,23.2,1.52,2253421
"BANANA PUDDING SNACKS, BANANA",111.0,1.01,23.2,1.52,2167224
"BANANA PUDDING TO GO, BANANA",106.0,2.35,17.6,2.94,2584724
"BANANA SINGLE DECKER, BANANA",386.0,5.26,70.2,10.5,2163100
"BANANA SMOOTHIE MIX, BANANA",421.0,0.0,100.0,0.0,2036933
"BANANA SOFT DRINK, BANANA",42.0,0.0,10.8,0.0,2508702
"BANANA SPLIT PARFAIT, BANANA",391.0,2.34,60.2,16.4,2592930
"BANANA TRAIL MIX, BANANA",562.0,12.5,43.8,37.5,2463139
"BANANA TWIN POPS, BANANA",69.0,0.0,,0.0,2504143
"BANANA WALNUT BUTTER, BANANA",607.0,14.3,25.0,57.1,1983303
"BANANA YUMMY MUFFINS, BANANA",359.0,4.23,43.7,18.3,2510787
"DRIED BANANA CHIPS, BANANA",0.0,0.0,65.0,27.5,2463565
"GO BANANAS SODA, BANANA",28.0,0.0,7.2,0.0,2563503
"IMITATION BANANA EXTRACT, BANANA",0.0,0.0,0.0,0.0,2454971
"KROGER, PUDDING, BANANA, BANANA",100.0,1.54,20.0,1.54,2035136
"ORGANIC BANANA CHIPS, BANANA",525.0,2.5,65.0,27.5,2123019
"ORGANIC, BANANA CHIPS, BANANA",533.0,3.33,56.7,33.3,2619975
"BANANA FLAVORED BANANA BUDDIES ICE POPS, BANANA",71.0,0.0,18.4,0.0,1994507
"BANANA NUT SLICED BANANA BREAD, BANANA NUT",320.0,4.0,42.0,14.0,2144072
"GENERAL MILLS, BANANA NUT CHEERIOS, REAL BANANA AND NATURAL BANANA, REAL BANANA AND NATURAL BANANA",357.0,3.57,85.7,3.57,1633632
"TRADER JOE'S, DRIED FRUIT BANANA CHIPS, BANANA, BANANA",533.0,3.33,63.3,30.0,1867554
"BANANA BREAD BANANA & CINNAMON PALEO BAR, BANANA BREAD",489.0,6.67,46.7,31.1,2392785
"BARNANA, ORGANIC CHOCOLATE CHEWY BANANA BITE, BANANA, BANANA",425.0,10.0,45.0,22.5,2670083
"LOVELY CANDY CO., BANANAS FOSTER CARAMELS, BANANA, BANANA",400.0,2.5,62.5,15.0,1937214
"SIMPLY BANANAS BARS, SIMPLY BANANAS",300.0,3.33,70.0,0.0,2609233
"DRIED BANANA CHIPS, DRIED BANANA",500.0,3.57,64.3,25.0,2176639
"SWEETENED BANANA CHIPS, SWEETENED BANANA",500.0,3.33,70.0,23.3,2173500
"BANANA FRUIT & NUT BAR, BANANA",378.0,6.67,64.4,11.1,2467556
"BANANA FREEZE DRIED CRISPS, BANANA",0.0,6.67,86.7,0.0,2376098
"BANANA FREEZE DRIED SLICES, BANANA",353.0,2.94,88.2,0.0,2428173
"BANANA FREEZE-DRIED CRISPS, BANANA",400.0,6.67,86.7,0.0,2385164
"BANANA NATURAL FRUIT BAR, BANANA",343.0,2.86,88.6,,2390602
"STRAWBERRIES & BANANA BLEND, STRAWBERRIES & BANANA",57.0,0.71,13.6,0.0,2400177
"STRAWBERRY & BANANA CRISPS, STRAWBERRY & BANANA",333.0,6.67,80.0,0.0,2429398
"STRAWBERRY BANANA BLEND, STRAWBERRY BANANA",64.0,0.71,15.7,0.0,2278538
"STRAWBERRY BANANA CRISPS, STRAWBERRY BANANA",333.0,6.67,80.0,0.0,2424352
"BERRY BANANA BLEND, BERRY BANANA",50.0,0.72,12.2,0.0,2403684
"STRAWBERRY BANANA CHIPS, STRAWBERRY BANANA",393.0,3.57,89.3,0.0,2390611
"BANANA NUT GRANOLA, BANANA NUT",400.0,10.0,70.0,9.0,2374381
"BANANA BREAD BAR, BANANA BREAD",444.0,11.1,53.3,22.2,2388266
"BANANA BREAD BARS, BANANA BREAD",,11.1,53.3,22.2,2388491
"BANANA + NUT BITES, BANANA + NUT",458.0,20.8,45.8,25.0,2159645
"BANANA NUT MUFFIN, BANANA NUT",453.0,6.25,54.7,23.4,2171109
"MARGIE'S, FRUIT SPREAD, BANANA, BANANA",237.0,0.0,57.9,0.0,1854392
"8"" BANANA CREAM PIE, BANANA",216.0,2.59,29.3,9.48,2669373
"BAKE SHOPPE BANANA CAKE, BANANA",,,,,2302837
"BANANA - PECAN GRANOLA, BANANAS FOSTER",433.0,10.0,60.0,16.7,1964545
"BANANA ALMOND BLEND PUDDING, BANANA",129.0,5.88,15.3,5.29,2304140
APPLE,52.0,0.0,14.3,0.65,454004
"Apple, candied",134.0,1.34,29.61,2.15,2709294
"Apple, raw",61.0,0.17,14.8,0.15,2709215
"Apple, dried",243.0,0.93,65.89,0.32,2709196
"Crisp, apple",215.0,2.81,30.18,9.59,2708023
"Apple, baked",113.0,0.32,22.7,3.08,2709220
Apple cider,46.0,0.1,11.3,0.13,2709319
"Cobbler, apple",217.0,2.05,33.56,8.66,2708019
"Croissants, apple",254.0,7.4,37.1,8.7,174988
"Pie, apple",296.0,2.7,37.55,15.28,2707995
"Strudel, apple",281.0,1.96,37.18,14.08,2708039
Apple pie filling,100.0,0.1,26.1,0.1,2709219
"Apple juice, 100%",48.0,0.09,11.34,0.25,2709320
Apple salad with dressing,180.0,1.45,12.2,14.24,2709293
"Babyfood, juice, apple",47.0,0.0,11.7,0.1,170959
"Cake or cupcake, apple",376.0,2.41,52.52,17.5,2707855
"Fruit butters, apple",724.0,0.39,42.5,0.3,168816
"Rose-apples, raw",25.0,0.6,5.7,0.3,168171
"Baby Toddler juice, apple",47.0,0.0,11.7,0.1,2709374
"Carrots, raw, salad with apples",181.0,0.85,8.59,16.02,2709662
"Pie, apple, fast food",316.0,3.0,42.6,16.1,2707996
"Apple juice, 100%, with calcium added",48.0,0.12,11.49,0.17,2709321
"Apples, dried, sulfured, uncooked",243.0,0.93,65.9,0.32,171691
"Apples, fuji, with skin, raw",,0.148,15.7,0.162,1750340
"Apples, gala, with skin, raw",,0.133,14.8,0.15,1750341
"Apples, honeycrisp, with skin, raw",,0.102,14.7,0.1,1750343
"Apples, raw, without skin",48.0,0.27,12.8,0.13,171689
"Babyfood, apples with ham, strained",62.0,2.6,10.9,0.9,173517
"Babyfood, apples, dices, toddler",50.0,0.19,11.6,0.36,173511
"Babyfood, juice, apple - cherry",47.0,0.2,11.2,0.1,167729
"Babyfood, juice, apple and grape",46.0,0.1,11.3,0.2,171381
"Babyfood, juice, apple and peach",43.0,0.2,10.5,0.1,171352
"Babyfood, juice, apple and prune",72.0,0.2,18.1,0.1,171353
"Babyfood, juice, apple, with calcium",191.0,0.06,11.1,0.1,170985
"Babyfood, juice, orange and apple",43.0,0.4,10.1,0.2,171355
"Mammy-apple, (mamey), raw",51.0,0.5,12.5,0.5,169909
"Pie fillings, apple, canned",420.0,0.1,26.1,0.1,168822
"Sugar-apples, (sweetsop), raw",94.0,2.06,23.6,0.29,168175
"Apples, granny smith, with skin, raw",,0.266,14.1,0.138,1750342
"Apples, raw, golden delicious, with skin",238.0,0.28,13.6,0.15,168202
"Apples, red delicious, with skin, raw",,0.188,14.8,0.212,1750339
"Baby Toddler apples, Stage 1",41.0,0.2,10.8,0.2,2709363
"Baby Toddler apples, Stage 2",37.0,0.0,10.3,0.0,2709364
"Babyfood, apple yogurt dessert, strained",93.0,0.8,19.5,1.6,167690
"Babyfood, dessert, dutch apple, junior",330.0,0.2,19.2,0.16,170977
"Babyfood, dessert, dutch apple, strained",75.0,0.2,19.7,0.4,170976
"Babyfood, fruit, apple and blueberry, junior",62.0,0.2,16.6,0.2,170958
"Babyfood, fruit, apple and blueberry, strained",61.0,0.2,16.3,0.2,170957
"Babyfood, fruit, apple and raspberry, junior",58.0,0.2,15.4,0.2,171346
"Babyfood, fruit, apple and raspberry, strained",58.0,0.2,15.6,0.2,171345
"Babyfood, juice, apple-sweet potato",47.0,0.3,11.4,0.1,169042
"Custard-apple, (bullock's-heart), raw",101.0,1.7,25.2,0.6,171725
"Pie, apple, prepared from recipe",265.0,2.4,37.1,12.5,175012
"Pie, Dutch Apple, Commercially Prepared",290.0,2.17,44.5,11.5,167522
"Apples, canned, sweetened, sliced, drained, heated",67.0,0.18,16.8,0.43,173930
"Apples, dehydrated (low moisture), sulfured, stewed",74.0,0.28,19.9,0.12,171690
"Apples, dehydrated (low moisture), sulfured, uncooked",346.0,1.32,93.5,0.58,173931
"Apples, dried, sulfured, stewed, with added sugar",83.0,0.2,20.7,0.07,171693
"Apples, raw, without skin, cooked, boiled",222.0,0.26,13.6,0.36,173928
"Apples, raw, without skin, cooked, microwave",234.0,0.28,14.4,0.42,173929
"Babyfood, fruit and vegetable, apple and sweet potato",269.0,0.3,15.3,0.22,170952
"Beverages, cranberry-apple juice drink, bottled",263.0,0.0,15.8,0.11,174140
"Desserts, apple crisp, prepared-from-recipe",675.0,1.75,30.8,3.43,169601
"Pie, apple, commercially prepared, enriched flour",237.0,1.9,34.0,11.0,175011
"Pie, apple, commercially prepared, unenriched flour",237.0,1.9,34.0,11.0,173239
"Apple juice beverage, 40-50% juice, light",22.0,0.0,5.1,0.1,2710591
"Apples, dried, sulfured, stewed, without added sugar",57.0,0.22,15.3,0.07,171692
"Babyfood, cereal, high protein, with apple and orange, dry",374.0,25.4,57.6,6.5,170973
"Babyfood, cereal, whole wheat, with apples, dry fortified",1680.0,6.6,83.2,4.8,171359
"Babyfood, GERBER, 3rd Foods, apple, mango and kiwi",48.0,0.47,12.9,0.0,172254
"Cereals, QUAKER, Instant Oatmeal, apples and cinnamon, dry",1530.0,8.62,76.7,4.61,171663
"Juice, apple and grape blend, with added ascorbic acid",50.0,0.16,12.5,0.12,168197
"Muffins, English, raisin-cinnamon (includes apple-cinnamon)",1000.0,7.91,48.1,1.8,174997
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",46.0,0.1,11.3,0.13,167771
"Babyfood, cereal, rice with pears and apple, dry, instant fortified",389.0,6.6,88.5,0.9,167731
"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",1440.0,6.19,85.8,2.3,172252
"Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic",266.0,1.1,14.8,0.0,173487
"Beverages, Apple juice drink, light, fortified with vitamin C",92.0,0.0,5.1,0.1,174112
"Beverages, MOTTS, Apple juice light, fortified with vitamin C",92.0,0.0,5.1,0.1,174857
"Beverages, OCEAN SPRAY, Cranberry-Apple Juice Drink, bottled",56.0,0.29,13.7,0.0,171895
"Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS",1630.0,4.51,87.3,2.71,174645
"Cereals, QUAKER, Instant Oatmeal, Apple and Cinnamon, reduced sugar",358.0,10.3,72.2,5.64,174662
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, apple walnut, dry",1630.0,8.18,70.5,10.4,171684
"Muffins, English, raisin-cinnamon, toasted (includes apple-cinnamon)",276.0,8.87,55.0,2.21,172760
"Toaster pastries, fruit (includes apple, blueberry, cherry, strawberry)",388.0,4.2,70.3,9.95,175035
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",191.0,0.1,11.3,0.13,173933
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",166.0,0.51,41.0,0.37,168188
"Apple juice, with added vitamin C, from concentrate, shelf stable",,0.0859,11.4,0.286,2003590
"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",218.0,0.26,13.8,0.17,171688
"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",112.0,6.9,13.4,3.9,173533
"Cereals ready-to-eat, QUAKER, Natural Granola Apple Cranberry Almond",1750.0,9.21,74.7,11.1,174658
"Danish pastry, fruit, unenriched (includes apple, cinnamon, raisin, strawberry)",371.0,5.4,47.8,18.5,172825
"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",52.0,0.17,13.0,0.12,168198
"Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)",385.0,4.01,71.8,9.02,167927
"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",1710.0,4.7,72.7,11.0,167928
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",48.0,0.12,11.5,0.17,167800
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",166.0,0.51,41.0,0.37,173934
"Apples, frozen, unsweetened, heated (Includes foods for USDA's Food Distribution Program)",47.0,0.29,12.0,0.33,173932
"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",48.0,0.28,12.3,0.32,171694
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",63.0,0.2,15.2,0.18,167793
"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",237.0,0.25,13.7,0.12,168204
"Beverages, cranberry-apple juice drink, low calorie, with vitamin C added",79.0,0.1,4.7,0.0,168123
"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",58.0,0.44,13.6,0.19,168203
"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",59.0,0.27,14.1,0.2,168201
"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",371.0,5.4,47.8,18.5,172755
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",47.0,0.14,11.5,0.1,167775
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",47.0,0.14,11.5,0.1,173935
"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",183.0,0.5,10.5,0.1,167805
"Cloudberries, raw (Alaska Native)",214.0,2.4,8.6,0.8,169802
"Cookie, applesauce",450.0,6.2,68.7,18.1,2707901
"Fritter, fruit",403.0,6.3,37.29,25.59,2708025
"Coffee cake, crumb or quick-bread type, with fruit",322.0,4.2,50.17,11.8,2708080
"Coleslaw, with fruit",113.0,0.91,13.65,6.34,2709817
Fruit butter,173.0,0.39,42.47,0.3,2710302
Hard cider,56.0,0.0,5.92,0.0,2710621
"Turnover, fruit",316.0,3.0,42.6,16.1,2708046
"Cereal, fruit rings",383.0,5.14,82.24,3.23,2708459
"Grape juice, 100%, with calcium added",62.0,0.37,14.77,0.13,2709326
"Roll, sweet, with fruit, frosted, diet",452.0,4.45,48.6,26.61,2707672
"Applesauce, flavored",75.0,0.25,17.97,0.17,2709218
"Applesauce, regular",75.0,0.25,17.97,0.17,2709216
"Applesauce, unsweetened",52.0,0.27,12.26,0.16,2709217
"Cranberry juice blend, 100% juice, with calcium added",45.0,0.27,10.91,0.12,2709318
"Danish pastry, with fruit",371.0,5.4,47.8,18.5,2708060
"Pan Dulce, with fruit, no frosting",372.0,6.2,50.9,16.4,2707670
"Vegetable and fruit juice, 100% juice, with high vitamin C",46.0,0.3,11.15,0.01,2710145
"Cranberry juice drink, with high vitamin C, light",19.0,0.1,4.7,0.0,2710588
"Lemonade, fruit juice drink",46.0,0.0,12.08,0.0,2710570
"Fruit juice blend, 100% juice",50.0,0.16,12.46,0.12,2709316
"Fruit juice drink, with high vitamin C",46.0,0.13,11.35,0.11,2710580
"BARRILITOS, APPLE SODA, APPLE, APPLE",42.0,0.0,10.7,0.0,1646831
"JUMEX, APPLE NECTAR, APPLE, APPLE",57.0,0.0,11.0,0.0,1895346
"APPLE CIDER, APPLE",58.0,0.0,13.8,0.0,2383856
"APPLE JUICE, APPLE",45.0,0.0,10.5,0.0,2570617
"APPLE BUTTER, APPLE",176.0,0.0,47.1,0.0,2077285
"APPLES SWEETANGO, APPLES",52.0,0.0,13.6,0.0,2484627
"APPLE APPLESAUCE, APPLE",80.0,0.0,21.2,0.0,2417585
"APPLE BARS, APPLE",350.0,5.0,70.0,5.0,2127679
"APPLE BLINTZES, APPLE",,3.54,,3.1,2374795
"APPLE BLOSSOMS, APPLE",149.0,1.75,19.3,7.02,2617712
"APPLE BUNS, APPLE",545.0,9.09,67.3,29.1,2554355
"APPLE CARAMELS, APPLE",361.0,2.78,66.7,9.72,2606579
"APPLE CHIPS, APPLE",357.0,3.57,89.3,0.0,2652691
"APPLE COBBLER, APPLE",177.0,1.77,36.3,3.1,2367412
"APPLE CRUMBLE, APPLE",190.0,1.41,37.3,4.23,1890934
"APPLE DANISH, APPLE",320.0,4.0,44.0,14.0,2484072
"APPLE DRINK, APPLE",25.0,0.0,5.56,0.0,2501584
"APPLE FRITTER, APPLE",417.0,4.72,46.5,23.6,2507407
"APPLE FRITTERS, APPLE",336.0,4.42,53.1,11.5,1962039
"APPLE JELLY, APPLE",250.0,0.0,65.0,0.0,2524876
"APPLE JIUCE, APPLE",183.0,0.0,45.0,0.0,2422553
ORANGE,381.0,4.76,90.5,0.0,1864680
